,Alay,KBBI
2385,ngegmesin,menggemaskan
2386,hndak,hendak
2387,hndk,hendak
2388,iiih,ih
2389,lutunaa,lucunya
2390,abiz,habis
2391,gemes,gemas
2392,ngareppppp,mengharap
2393,aamiinin,amin
2394,imuutt,imut
2395,abizzz,habis
2396,tay,tahi
2397,toketnya,teteknya
2398,tumpe2,tumpah-tumpah
2399,lenje,lenjeh
2400,tuuuuh,tuh
2401,cantinya,cantiknya
2402,macam2,macam-macam
2403,"mbak""",mbak-mbak
2404,ngatain,mengatai
2405,mbaknyaahh,mbaknya
2406,pyudara,payudara
2407,ditutupin,ditutupi
2408,bgitu,begitu
2409,ngomongnya,mengomongnya
2410,sich,sih
2411,cantiik2,cantik-cantik
2412,hati.a,hatinya
2413,mk.a,makanya
2414,mlt.a,mulutnya
2415,nyerocooooos,mencerocos
2416,kyk.a,kayaknya
2417,sklh,sekolah
2418,pljrn,pelajaran
2419,srng,sering
2420,ngilang,menghilang
2421,dikatain,dikatai
2422,maluuu,malu
2423,ngalahin,mengalahkan
2424,brisi,berisi
2425,pkoknya,pokoknya
2426,canti,cantik
2427,astagfirullh,astagfirullah
2428,nutupin,menutupi
2429,ori,orisinal
2430,kakakaaaaaaaaaaaaaa,kakak
2431,cantikkkkkkkk,cantik
2432,batwc,banget
2433,kamyuhhh,kamu
2434,dbwh,dibawah
2435,bukti2,bukti-bukti
2436,senenggg,senang
2437,mao,mau
2438,murhan,murahan
2439,prwtn,perawatan
2440,wjh,wajah
2441,bgettt,banget
2442,mereka2,mereka-mereka
2443,pakke,pakai
2444,dipake,dipakai
2445,ktergantungan,ketergantungan
2446,prwatn,perawatan
2447,ngebuktiin,membuktikan
2448,hslnya,hasilnya
2449,awal2,awal-awal
2450,setabil,stabil
2451,maksih,terima kasih
2452,gratiss,gratis
2453,bbrpa,beberapa
2454,"gara""",gara-gara
2455,"benar""",benar-benar
2456,ajaibb,ajaib
2457,pokonya,pokoknya
2458,setujuuu,setuju
2459,digituin,dibegitukan
2460,sekolahin,sekolahkan
2461,ajarin,ajarkan
2462,sendirii,sendiri
2463,mrnghadapi,menghadapi
2464,apalg,apalagi
2465,naka,nakal
2466,sdkt,sedikit
2467,besar2in,besar-besarkan
2468,bgmana,bagaimana
2469,s*inetr*n,sinetron
2470,mrusak,merusak
2471,mndpt,mendapat
2472,skt,sakit
2473,sebnyak,sebanyak
2474,terburu2,terburu-buru
2475,baik2,baik-baik
2476,ngumpat2,mengumpat-ngumpat
2477,nantangin,menantang
2478,ngegampar,menggampar
2479,ngelaporin,melaporkan
2480,salahin,salahkan
2481,gabisa,enggak bisa
2482,konsekwensi,konsekuensi
2483,muliany,mulianya
2484,mungki,mungkin
2485,lngsung,langsung
2486,tsb,tersebut
2487,t4,tempat
2488,bacahalah,bacalah
2489,dikerasin,dikerasi
2490,gkkan,enggak akan
2491,ngulangin,mengulangi
2492,bedaa,beda
2493,pnyaa,punya
2494,bol3h,boleh
2495,ngadu,mengadu
2496,ketauan,ketahuan
2497,dimarahin,dimarahi
2498,nyelesain,menyelesaikan
2499,troma,trauma
2500,kerasin,kerasi
2501,kamu2,kamu-kamu
2502,cewer,jewer
2503,bilanh,bilang
2504,jwban,jawaban
2505,nuduh,menuduh
2506,ngatur,mengatur
2507,rajin2,rajin-rajin
2508,bacaaaa,baca
2509,kekk,kayak
2510,jungkiir,jungkir
2511,gunaa,guna
2512,bales2in,balas-membalas
2513,orangg,orang
2514,tauuuu,tau
2515,byak,banyak
2516,kepad,kepada
2517,bantuanny,bantuannya
2518,ttinggi,tinggi
2519,perna,pernah
2520,grgr,gara-gara
2521,jari2,jari-jari
2522,pukulin,pukuli
2523,bengkak2,bengkak-bengkak
2524,komentarin,komentari
2525,bijak2,bijak-bijak
2526,lama2,lama-lama
2527,menurur,menurut
2528,tipe2,tipe-tipe
2529,diliat,dilihat
2530,liatlah,lihatlah
2531,teguran2,teguran-teguran
2532,gr2,gara-gara
2533,gamau,enggak mau
2534,skolah,sekolah
2535,pdahal,padahal
2536,klas,kelas
2537,tkut,takut
2538,grunya,gurunya
2539,pndah,pindah
2540,liat2,lihat-lihat
2541,masukin,memasukkan
2542,dilindungin,dilindungi
2543,kasiaannn,kasihan
2544,miring2,miring-miring
2545,tinggalin,tinggalkan
2546,kaitannha,kaitannya
2547,sud,sudah
2548,pinter,pintar
2549,rana,ranah
2550,thdp,terhadap
2551,scr,secara
2552,bhkn,bahkan
2553,justeru,justru
2554,ngatai,mengatai
2555,kln,kalian
2556,sukak,suka
2557,termuraaahhhh,termurah
2558,brkunjun,berkunjung
2559,suarranya,suaranya
2560,"bner""",benar-benar
2561,iu,itu
2562,bgussss,bagus
2563,kmaren,kemarin
2564,ambilin,mengambil
2565,biasaaaa,biasa
2566,luuuaar,luar
2567,redho,ridho
2568,rezki,rezeki
2569,kepd,kepada
2570,luaarrr,luar
2571,biasaaa,biasa
2572,jadilh,jadilah
2573,bnr,benar
2574,terhaaru,terharu
2575,orrunya,orang tuanya
2576,flm,film
2577,kalok,kalo
2578,adek2,adek-adek
2579,loncatt,loncat
2580,hampasss,hempas
2581,tehh,teh
2582,bunga2,bunga-bunga
2583,apaaan,apaan
2584,ampuuunn,ampun
2585,daaah,dah
2586,bangetttttt,banget
2587,ituh,itu
2588,cantiiikk,cantik
2589,suaranyaaaaaa,suaranya
2590,idoolaaa,idola
2591,pulaa,pula
2592,penyanyi2,penyanyi-penyanyi
2593,wiih,wih
2594,apaa,apa
2595,miriip,mirip
2596,allaahh,allah
2597,ajahhh,saja
2598,dehat,sehat
2599,salammmm,salam
2600,hari2,hari-hari
2601,sihat,sehat
2602,buruann,buruan
2603,rekomendain,rekomendasikan
2604,trussss,terus
2605,bangt,banget
2606,cepet,cepat
2607,pesen,pesan
2608,boong,bohong
2609,prawatan,perawatan
2610,mkin,makin
2611,dimao,dimau
2612,dijadiin,dijadikan
2613,silahkn,silakan
2614,kasiatnya,khasiatnya
2615,"minyak""an",minyak-minyakan
2616,suksess,sukses
2617,prodak,produk
2618,trasa,terasa
2619,minpi,mimpi
2620,bner2,benar-benar
2621,mutihin,memutihkan
2622,smster,semester
2623,kmren,kemarin
2624,ucull,lucu
2625,"ngomong""",ngomong-ngomong
2626,udehh,sudah
2627,syngnya,sayangnya
2628,dipermainin,dipermainkan
2629,kocakkk,kocak
2630,dasarrr,dasar
2631,waaaaw,wow
2632,cannnnntikkkkkkk,cantik
2633,mukax,mukanya
2634,cantikx,cantiknya
2635,fatanik,fanatik
2636,protestin,protestan
2637,kakau,kalau
2638,marh,marah
2639,emngnya,memangnya
2640,cantiknyaa,cantiknya
2641,darpada,daripada
2642,cooooooocok,cocok
2643,pkk,pakai
2644,sling,saling
2645,agama'ny,agamanya
2646,bilng,bilang
2647,prcy,percaya
2648,lurusin,meluruskan
2649,biri,biru
2650,luco,lucu
2651,ultha,ultah
2652,batikk,batik
2653,arab2,arab-arab
2654,baguss,bagus
2655,sedihhh,sedih
2656,syang,sayang
2657,ngasi,mengasih
2658,naaaak,nak
2659,astafirullah,astagfirullah
2660,peragain,peragakan
2661,shayyy,say
2662,anjaayy,anjay
2663,shay,say
2664,ngilerrrr,mengiler
2665,woyyy,woy
2666,shaaaay,say
2667,hempaass,hempas
2668,sayyy,say
2669,shayy,say
2670,syantiek,cantik
2671,njay,anjay
2672,hehh,eh
2673,cantik2,cantik-cantik
2674,kam,kamu
2675,ingeet,ingat
2676,sblh,sebelah
2677,nawarin,menawari
2678,amiiiiin,amin
2679,jauhhh,jauh
2680,waaahhh,wah
2681,ajakin,mengajak
2682,mntn,mantan
2683,ade,adek
2684,luhhh,lu
2685,yooookkk,yuk
2686,jrnk,jarang
2687,"jelas""",jelas-jelas
2688,kayax,kayak
2689,dblkng,dibelakang
2690,anjirr,anjir
2691,mirippp,mirip
2692,sangattt,sangat
2693,mayann,lumayan
2694,autuhh,tau tuh
2695,atutt,takut
2696,ketara,tertara
2697,giniii,begini
2698,mbaaass,mbak
2699,bund,bunda
2700,bangeeettt,banget
2701,almh,almarhumah
2702,temenkuuh,temanku
2703,suami'y,suaminya
2704,bngeeeetttt,banget
2705,entr,entar
2706,kyax,kayak
2707,cuantikkk,cantik
2708,mksdnya,maksudnya
2709,kaaaaaaaaaakkkkkkkkkkk,kak
2710,kucing'y,kucingnya
2711,nama'in,namai
2712,panggilan'ya,panggilannya
2713,panggilan'y,panggilannya
2714,z,saja
2715,kalw,kalau
2716,tips2,tips-tips
2717,alu,aku
2718,ngerrrriiii,ngeri
2719,ngriii,mengiri
2720,amatt,amat
2721,smpai,sampai
2722,kox,kok
2723,tmbah,tambah
2724,cntikk,cantik
2725,pkee,pakai
2726,smkin,semakin
2727,amiiiiinnn,amin
2728,bgmna,bagaimana
2729,ssorg,seseorang
2730,hdpn,hadapan
2731,foto2,foto-foto
2732,mnambh,menambah
2733,ktaatan,ketaatan
2734,stju,setuju
2735,cantikkkkkk,cantik
2736,dilepas2,dilepas-lepas
2737,tehhh,teh
2738,istiqomahhh,istikamah
2739,tehhhh,teh
2740,prodaknya,produknya
2741,imutt,imut
2742,amu,kamu
2743,nahh,nah
2744,mauuuuuuu,mau
2745,jilbb,jilbab
2746,tmn,teman
2747,ndut,gendut
2748,ngecek,mengecek
2749,penasarn,penasaran
2750,cuyy,cuy
2751,astauviruloh,astagfirullah
2752,paaak,pak
2753,diajarin,diajari
2754,gawl,gaul
2755,kecr,kece
2756,iih,ih
2757,laaaah,lah
2758,aned,banget
2759,gingsungny,gingsulnya
2760,blh,boleh
2761,cariin,carikan
2762,kenceng,kencang
2763,cuanti,cantik
2764,mbanya,mbaknya
2765,knlan,kenalan
2766,mbaakk,mbak
2767,mrka,mereka
2768,nyusahhin,menyusahkan
2769,byaran,bayaran
2770,wlawpun,walaupun
2771,sedangkn,sedangkan
2772,tnpa,tanpa
2773,bnggain,banggakan
2774,nyusahin,menyusahkan
2775,malu2in,malu-malui
2776,dibanggain,dibanggakan
2777,wlau,walau
2778,komenan,komentar
2779,"bangga""in",membangga-banggakan
2780,krya,karya
2781,"bilang""",bilang-bilang
2782,tinggall,tinggal
2783,dmna,dimana
2784,dripda,daripada
2785,bangga2in,membangga-banggakan
2786,dibnggain,dibanggakan
2787,karya2,karya-karya
2788,drimana,darimana
2789,ngepake',memakai
2790,gksalah,enggak salah
2791,nuntut,menuntut
2792,ngebiarin,membiarkan
2793,bhas,bahas
2794,lagu'y,lagunya
2795,jadiin,jadikan
2796,diem,diam
2797,nyampah,menyampah
2798,"mba""",mbak-mbak
2799,bukan'a,bukannya
2800,tappi,tapi
2801,kalli,kali
2802,pacara,pacaran
2803,"ngerebut""",merebut-rebut
2804,lluu,lu
2805,mbaa,mbak
2806,ngerussak,merusak
2807,"bela""in",membela-bela
2808,bellain,membela
2809,kallo,kalo
2810,coment,komen
2811,dewassa,dewasa
2812,comnet,komen
2813,"pikir""",pikir-pikir
2814,kaya'a,kayanya
2815,kuyyy,yuk
2816,kitaa,kita
2817,sgtu'y,sebegitunya
2818,ngebelain,membela
2819,tpii,tapi
2820,"karya""",karya-karya
2821,do,di
2822,cali,caci
2823,penghrgaan,penghargaan
2824,ajjh,saja
2825,lbihh,lebih
2826,baikk,baik
2827,drii,dari
2828,"artist""",artis-artis
2829,"maki""",maki-maki
2830,sendirinnya,sendirinya
2831,stidaknya,setidaknya
2832,may,mau
2833,trbaikk,terbaik
2834,punn,pun
2835,mengikutii,mengikuti
2836,atassan,atasan
2837,klauu,kalau
2838,jngnn,jangan
2839,so,sok
2840,sendirinyya,sendirinya
2841,frestasiii,prestasi
2842,mst,mesti
2843,add,ada
2844,see,sih
2845,sibukx,sibuknya
2846,in,ini
2847,katanyaa,katanya
2848,lawaaaas,lawas
2849,kocaaaak,kocak
2850,syng,sayang
2851,adenya,adeknya
2852,pkoknyaa,pokoknya
2853,dsana,disana
2854,dua2nya,dua-duanya
2855,sichhhhhhhhhh,sih
2856,nampak,menampak
2857,tetehh,teteh
2858,wooowww,wow
2859,cobain,coba
2860,muga,moga
2861,kenalin,mengenalkan
2862,janka,jangka
2863,wawwwww,wow
2864,waaaww,wow
2865,waaawwww,wow
2866,mantapp,mantap
2867,cobaaa,coba
2868,kageet,kaget
2869,bangettttttt,banget
2870,oplas,operasi plastik
2871,nambahh,bertambah
2872,paripurnahh,paripurna
2873,wanitah,wanita
2874,indonesiaah,indonesia
2875,cumn,cuman
2876,gegra,gegara
2877,brita,berita
2878,fotbar,foto bareng
2879,wajarrr,wajar
2880,sngt,sangat
2881,wk,waktu
2882,bingiittt,banget
2883,nampar,menampar
2884,tukan,tukang
2885,jatoh,jatuh
2886,"muka""",muka-muka
2887,cantik2nya,cantik-cantiknya
2888,sdgkn,sedangkan
2889,"apa""",apa-apa
2890,mancungin,memancungkan
2891,idung,hidung
2892,kusem,kusam
2893,drpada,daripada
2894,kmar,kamar
2895,diemm,diam
2896,tnggu,tunggu
2897,ketawain,mentertawakan
2898,yaelahhh,alah
2899,"sikap""",sikap-sikap
2900,bales,balas
2901,ampuun,ampun
2902,ngejatuhin,manjatuhkan
2903,ngelakuin,melakukan
2904,gedeg,gedek
2905,muka2,muka-muka
2906,eey,eh
2907,kslahan,kesalahan
2908,perhatiam,perhatian
2909,dibiarin,dibiarkan
2910,sbnrny,sebenarnya
2911,trjd,terjadi
2912,mkir,memikir
2913,hny,hanya
2914,apalai,apalagi
2915,bkal,bakal
2916,saat2,saat-saat
2917,nyadar,menyadari
2918,bka,buka
2919,berani2,berani-berani
2920,lucuuuuu,lucu
2921,pipi'y,pipinya
2922,gemmeeezzz,gemas
2923,sukam,suka
2924,menghilangkn,menghilangkan
2925,mnjdkan,menjadikan
2926,mudah2n,mudah-mudahan
2927,stlh,setelah
2928,soalx,soalnya
2929,keche,kece
2930,badaii,badai
2931,btuh,butuh
2932,ktanya,katanya
2933,bebrp,beberapa
2934,sblum,sebelum
2935,santab,santap
2936,salehah,salihah
2937,mikirin,memikirkan
2938,subhannallah,subhanallah
2939,konsul,konsultasi
2940,pengalam,pengalaman
2941,poko,pokok
2942,trun,turun
2943,kuninggg,kuning
2944,pinkkkk,pink
2945,warnany,warnanya
2946,seger,segar
2947,senangat,semangat
2948,msknya,masaknya
2949,kerennnn,keren
2950,ciptain,ciptakan
2951,bagussss,bagus
2952,sayangkuh,sayangku
2953,gans,ganteng
2954,kren,keren
2955,babget,banget
2956,dihh,dih
2957,jadu,jadi
2958,ksyngn,kesayangan
2959,haru,harus
2960,ngingetin,mengingatkan
2961,narik,menarik
2962,"orang""",orang-orang
2963,gokilll,gila
2964,astagaaaa,astaga
2965,hancuuuuuy,hancur
2966,mattihhh,mati
2967,beudd,banget
2968,termiribkan,termiripkan
2969,dngerin,mendengarkan
2970,brrti,berarti
2971,wenakk,enak
2972,nganteng,ganteng
2973,abanggg,abang
2974,seksii,seksi
2975,gtuh,begitu
2976,jadii,jadi
2977,emeezzz,gemas
2978,amohhh,kamu
2979,maau,mau
2980,eyke,aku
2981,gilakkkkk,gila
2982,awk,awak
2983,duhhhhh,duh
2984,wowww,wow
2985,liaatt,lihat
2986,iniiiii,ini
2987,aloh,allah
2988,ngettt,banget
2989,maso,masa
2990,brubah,berubah
2991,pelastik,plastik
2992,keak,kayak
2993,dengerin,dengarkan
2994,pahamin,pahami
2995,takuuuuut,takut
2996,ahahahanjirrr,anjir
2997,jogetin,berjoget
2998,shaay,say
2999,boker,berak
3000,pacarnyaa,pacarnya
3001,siapaa,siapa
3002,matii,mati
3003,ketawaa,ketawa
3004,wanjiir,anjir
3005,bw,bawa
3006,minta,meminta
3007,bnran,benaran
3008,sgla,segala
3009,uitnya,duitnya
3010,beliiin,belikan
3011,yaaah,ya
3012,sekaeang,sekarang
3013,tgk,tengok
3014,tanyain,tanyakan
3015,jatuhnyaa,jatuhnya
3016,banyakin,membanyaki
3017,tipu2nya,tipu-tipunya
3018,doaang,doang
3019,gituan,begituan
3020,kaj,kak
3021,wahhhhhh,wah
3022,iiiiiiiii,ih
3023,kaliiiiiii,kali
3024,melebihin,melebihi
3025,gakpapa,enggak apa-apa
3026,kalogak,kalo enggak
3027,sm2,sama-sama
3028,ndukung,mendukung
3029,kaaaaa,kak
3030,aamiinnn,amin
3031,skluarga,sekeluarga
3032,suaminga,suaminya
3033,berhijap,berhijab
3034,smgaa,semoga
3035,istiqamah,istikamah
3036,cuaaantikk,cantik
3037,muraaaaah,murah
3038,baraang,barang
3039,aamiiin,amin
3040,bets,banget
3041,alhamdulillaaaaah,alhamdulillah
3042,sembuhin,menyembuhkan
3043,pengrusak,perusak
3044,ngoceh,mengoceh
3045,aduhhh,aduh
3046,hpus,hapus
3047,pjang,pajang
3048,bdampingan,berdampingan
3049,kaga,kagak
3050,uih,uh
3051,"serem""",seram-seram
3052,"happi""",hepi-hepi
3053,bgtuu,begitu
3054,mff,maaf
3055,ktwa,ketawa
3056,trlalu,terlalu
3057,jjur,jujur
3058,ngmg,mengomong
3059,semogaa,semoga
3060,kepelesett,terpeleset
3061,geeelaakk,gila
3062,bolang,bocah petualang
3063,pkek,pakai
3064,lagihh,lagi
3065,hedeuuhh,aduh
3066,stress,stres
3067,saltummmm,salah kostum
3068,mboizzz,bois
3069,suda,sudah
3070,kayaq,kayak
3071,ema,emak
3072,dirumahny,dirumahnya
3073,yuh,tuh
3074,rmbt,rambut
3075,apus,hapus
3076,siapayahh,siapa ya
3077,kostom,kostum
3078,gnii,begini
3079,atuu,satu
3080,pipinyaaa,pipinya
3081,bungkuuuuuuuuusss,bungkus
3082,iiiihhhhhj,ih
3083,emeessss,gemas
3084,pipine,pipinya
3085,glembeeeer,gelambir
3086,lucunaaa,lucunya
3087,cubanget,lucu banget
3088,pengenn,pengin
3089,unyuuk,unyu
3090,dedek,adek
3091,lucunyah,lucunya
3092,mantaaap,mantap
3093,keduaa,kedua
3094,trsrh,terserah
3095,ksih,kasih
3096,seterong,setrong
3097,teyuss,terus
3098,dimasukin,dimasuki
3099,jelekin,menjelekkan
3100,jahatin,menjahati
3101,tai,tahi
3102,qo,kok
3103,nulis,menulis
3104,nyebutin,menyebutkan
3105,ngertiin,mengerti
3106,rasaiin,rasai
3107,gakusah,enggak usah
3108,disni,disini
3109,sabarrr,sabar
3110,semangaatttt,semangat
3111,nyalahin,menyalahkan
3112,bedainnya,membedakannya
3113,keknya,kayaknya
3114,krus,kurus
3115,elaaaahhhh,alah
3116,cogan,cowok ganteng
3117,tap8,tapi
3118,pandanginya,memandanginya
3119,kenaliiin,kenalkan
3120,banyak2,banyak-banyak
3121,yo,ya
3122,suko,suka
3123,niih,nih
3124,sihhhh,sih
3125,"sebaik""",sebaik-baik
3126,segtu,sebegitu
3127,ngebenci,membenci
3128,bakar2in,bakar-bakari
3129,padhe,pakde
3130,yya,ya
3131,atw,atau
3132,dosa2mu,dosa-dosamu
3133,maafin,memaafi
3134,gile,gila
3135,ujung2,ujung-ujung
3136,dalem2,dalam-dalam
3137,kgak,kagak
3138,bahas2,bahas-bahas
3139,ud,sudah
3140,woles,selow
3141,hianatin,khianati
3142,halangin,halangi
3143,iyuh,ih
3144,iyuuuhhhh,ih
3145,gaje,enggak jelas
3146,gabakal,enggak bakal
3147,adapin,menghadapi
3148,ngehakimi,menghakimi
3149,ngejuangin,memperjuangkan
3150,dipojokin,dipojokkan
3151,bacotin,bacoti
3152,berati,berarti
3153,kebangetak,kebangetan
3154,tangkep,tangkap
3155,bt,buat
3156,sadis2,sadis-sadis
3157,maksir,menaksir
3158,hebatt,hebat
3159,pndang,pandang
3160,pmbelajaran,pembelajaran
3161,ngejelek,menjelekkan
3162,maslah,masalah
3163,mmperbaiki,memperbaiki
3164,nahan,menahan
3165,kafeh,kafe
3166,remang2,remang-remang
3167,mlh,malah
3168,tinggl,tinggal
3169,dirmh,dirumah
3170,iyuuhhh,ih
3171,ktika,ketika
3172,dipuja2,dipuja-puja
3173,ngrasain,merasai
3174,ityl,itil
3175,hbs,habis
3176,marah2,marah-marah
3177,wenak,enak
3178,ngarang,mengarang
3179,kelas'a,kelasnya
3180,hadeeehhh,aduh
3181,"kecil""",kecil-kecil
3182,"gtu""an",begitu-gituan
3183,gmanapun,bagaimanapun
3184,kr,kira
3185,nenek2,nenek-nenek
3186,taux,taunya
3187,urat2nya,urat-uratnya
3188,ketarik,tertarik
3189,ngorbanin,mengorbankan
3190,eksprsi,ekspresi
3191,gitulah,begitulah
3192,"foto""",foto-foto
3193,mamas,mas
3194,bandingin,bandingkan
3195,tua2,tua-tua
3196,terus2an,terus-terusan
3197,waduhh,waduh
3198,"bawa""",bawa-bawa
3199,badingkan,membandingkan
3200,ngurus,mengurus
3201,lanjutin,lanjutkan
3202,ributin,meributkan
3203,brantem,berantem
3204,belain,membela
3205,lipetan,lipatan
3206,"nenek""",nenek-nenek
3207,bneraan,benaran
3208,kageeet,kaget
3209,sangaaattt,sangat
3210,rmbuut,rambut
3211,nt,nanti
3212,walik,balik
3213,oma2,oma-oma
3214,kellen,kalian
3215,nyerocos,mencerocos
3216,ibuk2,ibu-ibu
3217,ngomenin,mengomentari
3218,iseng2,iseng-iseng
3219,niyyyyhhhh,nih
3220,sexi2,seksi-seksi
3221,blik,balik
3222,kenape,kenapa
3223,ladenin,meladeni
3224,skit,sakit
3225,hat,hati
3226,jilbabnye,jilbabnya
3227,ledkin,meledeki
3228,digabtikan,digantikan
3229,jng,jangan
3230,ngumung,mengomong
3231,ilang-in,hilangkan
3232,prinadi,pribadi
3233,luh,lu
3234,yep,ya
3235,helooooo,halo
3236,palingann,palingan
3237,berjinah,berzina
3238,munaafikk,munafik
3239,urusn,urusan
3240,saudra,saudara
3241,trganggu,terganggu
3242,bhijab,berhijab
3243,lepasin,melepas
3244,smentara,sementara
3245,waduhhh,waduh
3246,ursan,urusan
3247,sudab,sudah
3248,dwsa,dewasa
3249,rpt2,repot-repot
3250,ngaji,mengaji
3251,nmr,nomor
3252,romantiz,romantis
3253,murmer,murah meriah
3254,pensaran,penasaran
3255,baru2,baru-baru
3256,yuukk,yuk
3257,kitaaa,kita
3258,lainnyaa,lainnya
3259,perbulannn,perbulan
3260,penyebab2,penyebab-penyebab
3261,nyupir,menyopir
3262,steess,stres
3263,kwatir,kawatir
3264,tengah2,tengah-tengah
3265,duetin,duet
3266,mudaa,muda
3267,sebenernya,sebenarnya
3268,silsturahmi,silaturahmi
3269,dijkt,dijakarta
3270,cums,cuma
3271,undangan2,undangan-undangan
3272,past,pasti
3273,ayukk,yuk
3274,ngucapin,mengucapkan
3275,filmny,filmnya
3276,nobar,menonton bareng
3277,kemariin,kemarin
3278,knpp,kenapa
3279,lggi,lagi
3280,gaprgi,enggak pergi
3281,aaahh,ah
3282,pa2,apa-apa
3283,dtunggu,ditunggu
3284,masa2,masa-masa
3285,kepikir,terpikir
3286,seruuu,seru
3287,emeshh,gemas
3288,kaya,kayak
3289,astagaaaaaa,astaga
3290,pacarn,pacaran
3291,ktg,kita
3292,pacaranya,pacarannya
3293,mbaak,mbak
3294,ngalah,mengalah
3295,de,dek
3296,pacarane,pacarannya
3297,rusakkk,rusak
3298,yaaampunnn,ya ampun
3299,tuwek,tua
3300,mukae,mukanya
3301,ultahe,ultahnya
3302,kliatanya,kelihatannya
3303,pcaranya,pacarannya
3304,bermaksut,bermaksud
3305,tampialannya,tampilannya
3306,nikaah,nikah
3307,"anak""",anak-anak
3308,pankapan,kapan-kapan
3309,ngumbar,mengumbar
3310,dhpusin,dihapuskan
3311,istiqomah,istikamah
3312,mnutup,menutup
3313,bngatt,banget
3314,dii,di
3315,ooh,oh
3316,hapusin,hapuskan
3317,lohhh,loh
3318,ngeuh,engah
3319,sneng,senang
3320,mutusin,memutuskan
3321,ngapus,menghapus
3322,awl,awal
3323,hrus,harus
3324,bngkit,bangkit
3325,mncoba,mencoba
3326,wahhh,wah
3327,mutuain,memutuskan
3328,smw,semua
3329,geuliiiiiiis,geulis
3330,euyyyyy,euy
3331,uuh,uh
3332,ngirim,mengirim
3333,ngidam,mengidam
3334,waah,wah
3335,sampis,sampah habis
3336,maapin,maaf
3337,ngebala,bala
3338,mampuussss,mampus
3339,diihhhh,dih
3340,hrusnya,harusnya
3341,sabal,sabar
3342,udahlah,sudahlah
3343,kauuuu,kau
3344,sabaro,sabar
3345,eehhh,eh
3346,iiii,ih
3347,kreative,kreatif
3348,bangrt,banget
3349,azekkkk,asik
3350,kuaaatt,kuat
3351,bhet,banget
3352,inggrisny,inggrisnya
3353,dsna,disana
3354,iyaap,iya
3355,mksih,terima kasih
3356,nga,enggak
3357,canyk,cantik
3358,prodac,produk
3359,nyesell,menyesal
3360,ciyusss,serius
3361,cyin,cinta
3362,bangetttttttt,banget
3363,sexi,seksi
3364,bundaaaa,bunda
3365,bangget,banget
3366,bettt,banget
3367,cantiiillx,cantik
3368,brapa,berapa
3369,alaami,alami
3370,sabaarrr,sabar
3371,cantiiiikk,cantik
3372,bangeeeeetttt,banget
3373,cannntikk,cantik
3374,banggett,banget
3375,thnan,tahunan
3376,cuantik,cantik
3377,segerr,segar
3378,wouww,wow
3379,cantiiikkk,cantik
3380,pen,pengin
3381,catokin,catok
3382,ikut2an,ikut-ikutan
3383,comment2nya,komentar-komentarnya
3384,teman2,teman-teman
3385,besar2an,besar-besaran
3386,knsul,konsultasi
3387,brhasil,berhasil
3388,hilangin,menghilangkan
3389,kontak2,kontak-kontak
3390,dptnya,dapatnya
3391,applikasi,aplikasi
3392,kereeeeen,keren
3393,bngeet,banget
3394,gemesinnnnn,menggemaskan
3395,ongkiir,ongkir
3396,ajaibbbbb,ajaib
3397,saayyyyy,say
3398,lohhhh,loh
3399,ganteung,ganteng
3400,bhgia,bahagia
3401,iiiiiiiiii,ih
3402,lucuukk,lucu
3403,keciil,kecil
3404,yakinn,yakin
3405,pentass,pentas
3406,ngarep,mengharap
3407,lucu2,lucu-lucu
3408,testinya,testimoninya
3409,mengirusi,mengurusi
3410,khdpn,kehidupan
3411,ngelawan,melawan
3412,betuuuuulllllllllllllllll,betul
3413,bisax,bisanya
3414,klmbutan,kelembutan
3415,seburuk2,seburuk-buruk
3416,diingetin,diingatkan
3417,ngeriiiiii,ngeri
3418,akhlah,akhlak
3419,elo2,lo-lo
3420,mandiin,memandikan
3421,nguburin,menguburkan
3422,ngebedain,membedakan
3423,urusanny,urusannya
3424,tuhanny,tuhannya
3425,brtngkar,bertengkar
3426,pndapat,pendapat
3427,looh,loh
3428,sharusnya,seharusnya
3429,mngkannya,mangkanya
3430,nyia2in,menyia-nyiakan
3431,brarti,berarti
3432,mndpat,mendapat
3433,kpuasan,kepuasan
3434,sgampang,segampang
3435,mlepaskan,melepaskan
3436,trll,terlalu
3437,sndr,sendiri
3438,sellow,selow
3439,sbbrnya,sebenarnya
3440,kasar2,kasar-kasar
3441,semangattt,semangat
3442,testi,testimoni
3443,banyaak,banyak
3444,bujukk,bujuk
3445,d.apa,diapa
3446,apain,apai
3447,dsar,dasar
3448,benetaran,benaran
3449,bneran,benaran
3450,si,sih
3451,kraya,karya
3452,brg,bareng
3453,ngebantu,membantu
3454,janjutin,lanjutkan
3455,kepppoin,kepoi
3456,recommendasi,rekomendasi
3457,btulan,betulan
3458,kha,kah
3459,s,si
3460,tutupin,menutupi
3461,wik,wig
3462,ithu,itu
3463,botakin,botaki
3464,botakkkk,botak
3465,bnrn,benaran
3466,week,wig
3467,gawul,gaul
3468,modes,modis
3469,brayyy,bray
3470,kcantikan,kecantikan
3471,bronis,brondong manis
3472,gapunya,enggak punya
3473,bkln,bakalan
3474,kecantikanga,kecantikannya
3475,hiii,hai
3476,piiiilih,pilih
3477,deeh,deh
3478,zama,zaman
3479,gnti,ganti
3480,nmnya,namanya
3481,tapo,tapi
3482,gkk,enggak
