,Alay,KBBI
581,wajiiib,wajib
582,aaaammmiiiinnnn,amin
583,dtnggu,ditunggu
584,jan,jangan
585,kunjungin,kunjungi
586,lagiiii,lagi
587,waktunyaaa,waktunya
588,diluangin,diluangkan
589,mimin,admin
590,istimewaaa,istimewa
591,blom,belum
592,nangis,menangis
593,"ngaku""",mengaku-ngaku
594,diaa,dia
595,donkk,dong
596,kejawab,terjawab
597,yaaaa,ya
598,seru2an,seru-seruan
599,mohom,mohon
600,kebalas,terbalas
601,nyempetin,menyempatkan
602,wktunya,waktunya
603,kaaaa,kak
604,ngobrol,mengobrol
605,namain,menamai
606,bls,balas
607,ijap,ijab
608,kobul,kabul
609,co,cowok
610,pst,pasti
611,inggat,ingat
612,brdua,berdua
613,masing2,masih
614,sanggat,sangat
615,siipp,sip
616,laa,lah
617,dlm,dalam
618,hdup,hidup
619,hdp,hidup
620,kedpan,kedepan
621,smoga,semoga
622,mndaptkan,mendapatkan
623,"nutup""in",menutup-nutupi
624,iyah,iya
625,sja,saja
626,kakkk,kak
627,za,saja
628,mulut2,mulut-mulut
629,peengn,pengin
630,muantteepp,mantap
631,cpt,cepat
632,mrit,merit
633,y,ya
634,ngapasih,mengapa sih
635,ni,ini
636,segitunya,sebegitunya
637,fto,foto
638,pke,pakai
639,sisain,menyisakan
640,slamt,selamat
641,nantiii,nanti
642,edaaan,edan
643,tunggu2,tunggu-tunggu
644,sehat2,sehat-sehat
645,ciyeeeeeee,cie
646,pantes,pantas
647,lairannya,kelahirannya
648,jmnya,jamnya
649,ajha,saja
650,nyaaaa,nya
651,nyari,mencari
652,amiien,amien
653,terbaikkk,terbaik
654,ayahh,ayah
655,ae,saja
656,ngerti,mengerti
657,mrekaaaa,mereka
658,yaampuuuunnnn,ya ampun
659,nyanyiin,menyanyikan
660,ahhh,ah
661,pgen,pengin
662,tempt,tempat
663,kh,kah
664,bgini,begini
665,brani,berani
666,jalan2,jalan-jalan
667,asyikkkkk,asyik
668,iriiiii,iri
669,naaaaahh,nah
670,kka,kakak
671,yak,ya
672,ttep,tetap
673,sperti,seperti
674,jrang,jarang
675,msuk,masuk
676,gossip2.an,gosip-gosipan
677,makkk,mak
678,guee,gue
679,pengennn,pengin
680,gilzz,gila
681,nyaru,menyaru
682,gilaaa,gila
683,kebarat2an,kebarat-baratan
684,mantabs,mantab
685,jgan,jangan
686,mlu,malu
687,payahh,payah
688,ntaf,mantap
689,beneran,benaran
690,"mudah""n",mudah-mudahan
691,gada,enggak ada
692,milikin,memiliki
693,kamo,kamu
694,inih,ini
695,sukaaaa,suka
696,sukaaaaaa,suka
697,kirain,mengira
698,mehoonggggg,mahal
699,apikkkk,apik
700,yach,ya
701,kereenn,keren
702,ginii,begini
703,ayoook,ayo
704,yoiii,yoi
705,gituuu,begitu
706,iyaaa,iya
707,liptsk,lipstik
708,nyeplak,menjiplak
709,cw,cewek
710,kmarin,kemarin
711,mengncang,mengencang
712,tauu,tau
713,ksh,kasih
714,skrng,sekarang
715,mksh,terima kasih
716,ank,anak
717,skitar,sekitar
718,ktmu,ketemu
